city,avg_comp,num_jobs,latitude,longitude
Hudson,128000,1,42.7647,-71.4397
Fairfield,219000,1,41.1758,-73.2719
Linthicum,82000,1,39.2039,-76.6606
Palm Springs,355000,1,33.8303,-116.5468
Mobile,169000,1,30.6889,-88.0448
Arlington Heights,112000,1,42.0830,-87.9805
Maple Shade,79000,1,39.9524,-74.9949
Whitehouse Station,70000,1,40.6162,-74.7719
Hiawatha,205000,1,42.0444,-91.6811
New Braunfels,175000,1,29.7000,-98.1167
Thornton,320000,1,39.9031,-104.9544
Rogers,155000,1,36.3294,-94.1414
Somerville,324000,1,42.3875,-71.1000
Archbald,69000,1,41.4936,-75.5514
Poland,250000,1,39.4441,-86.9508
Santa Maria,85000,1,34.9484,-120.4359
Fort Knox,72000,1,37.9200,-85.9600
Monterey,140000,1,36.6000,-121.9000
Poway,145000,1,32.9700,-117.0386
Evanston,98000,1,42.0464,-87.6947
Kaneohe,301000,1,21.4092,-157.7992
Moscow,56000,1,46.7300,-117.0000
Simsbury,130000,1,41.8706,-72.8253
Bellevue,160000,1,41.2758,-82.8422
Fairfax Station,150000,1,38.8025,-77.3253
Cheyenne,156000,1,41.1402,-104.8188
Columbus Grove,175000,1,40.9194,-84.0600
Brea,75000,1,33.9233,-117.8889
Huntington Beach,112000,1,33.6598,-117.9993
Redmond,210000,1,39.0053,-111.8672
La Crosse,151000,1,43.8088,-91.2519
Moscow,40000,1,41.3392,-75.5292
Bridgeport,150000,1,41.1792,-73.1895
Dayton,80000,1,39.7610,-84.1922
Sunnyvale,180000,1,32.8134,-96.6025
Hamilton Township,277000,1,40.2101,-74.6822
London,235000,1,38.1971,-81.3704
San Jose,350000,1,40.3039,-89.6047
New Providence,200000,1,40.6989,-74.4066
Colorado City,380000,1,36.9894,-112.9781
Camas,178000,1,45.5911,-122.4122
Sacramento,144000,1,40.6341,-76.5942
Hawaiian Gardens,130000,1,33.8286,-118.0736
Dublin,34000,1,42.9059,-72.0619
East Rutherford,115000,1,40.8318,-74.0979
New Haven,80000,1,41.3100,-72.9236
Smithfield,95000,1,41.8791,-71.4834
Waukegan,110000,1,42.3596,-87.8339
Lexington Park,112000,1,38.2648,-76.4550
Dublin,120000,1,40.3733,-75.2025
Bergenfield,150000,1,40.9223,-73.9980
Berkeley Heights,240000,1,40.6764,-74.4250
Anaheim,80000,1,33.8345,-117.9156
St. Petersburg,270000,1,27.7731,-82.6400
Fort Myers,119000,1,26.6167,-81.8333
Dublin,109000,1,32.0852,-98.3424
Franklin Township,78000,1,40.6454,-78.0919
Concord,73000,1,35.4087,-80.5792
Detroit,106000,1,44.7925,-69.2967
Pontiac,165000,1,42.6388,-83.2927
Wilmington,78000,1,34.2233,-77.9122
Chester Springs,85000,1,40.0785,-75.6343
Chandler Heights,83000,1,33.2083,-111.6847
Charleston,65000,1,38.3472,-81.6333
Sandisfield,120000,1,42.1112,-73.1399
Plymouth,90000,1,41.9558,-70.6644
Covington,65000,1,39.0650,-84.5097
Taunton,40000,1,41.9017,-71.0927
California,159000,1,40.0653,-79.8972
Allen Park,259000,1,42.2575,-83.2111
Bellevue,130000,1,43.4650,-114.2567
Ridley Park,145000,1,39.8797,-75.3256
Morris Plains,180000,1,40.8391,-74.4771
Monument,213000,1,39.0811,-104.8625
Maryland Heights,130000,1,38.7122,-90.4682
Annapolis,159000,1,38.9729,-76.5012
North Houston,112000,1,29.9273,-95.5155
Yulee,223000,1,30.6286,-81.6082
Fort Wayne,276000,1,41.0775,-85.1375
Mountain View,283000,1,36.9956,-91.7008
Santa Clarita,234000,1,34.4167,-118.5064
Shevlin,172000,1,47.5303,-95.2586
Edgewater,93000,1,40.8238,-73.9742
Shreveport,99000,1,32.5147,-93.7472
Fort Meade,129000,1,39.1050,-76.7414
Cape Canaveral,119000,1,28.3883,-80.6036
Georgiana,184000,1,31.6401,-86.7394
London,106000,1,39.8898,-83.4406
Hilbert,188000,1,44.1400,-88.1641
