company,Category,Compensation,Type
Airbnb,Mid (5-10 years),386902.6549,Other
Airbnb,Late (10+ years),484178.5714,Other
sap,Grad (0-1 years),117571.4286,Other
sap,Early (2-5 years),134545.4545,Other
sap,Mid (5-10 years),161245.614,Other
sap,Late (10+ years),236333.3333,Other
Visa,Grad (0-1 years),109315.7895,Other
Visa,Early (2-5 years),140250,Other
Visa,Mid (5-10 years),169456.1404,Other
Visa,Late (10+ years),227370.3704,Other
Dell Technologies,Grad (0-1 years),105157.8947,Other
Dell Technologies,Early (2-5 years),141146.3415,Other
Dell Technologies,Mid (5-10 years),164671.875,Other
Dell Technologies,Late (10+ years),219947.9167,Other
Snap,Grad (0-1 years),202766.6667,Other
Snap,Early (2-5 years),334694.4444,Other
Snap,Mid (5-10 years),466615.3846,Other
Snap,Late (10+ years),713189.1892,Other
Average,Grad (0-1 years),141580.5206,Other
Average,Early (2-5 years),184232.123,Other
Average,Mid (5-10 years),233008.1976,Other
Average,Late (10+ years),298325.4752,Other
